transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,sent,tx_datagrams,tx_payload_bytes
taut,2,latency,1.000000,30.000000,500.000000,5,5,5003,5173,2757209
tcp,,latency,5.000000,30.000000,500.000000,1,1,4543,4543,2326016
enet,,latency,5.000000,30.000000,500.000000,1,1,4905,4905,2511360
taut,1,latency,5.000000,30.000000,500.000000,1,1,4905,5583,2975739
taut,2,latency,5.000000,30.000000,500.000000,1,1,4905,5551,2958683
tcp,,latency,5.000000,30.000000,500.000000,2,2,4413,4413,2259456
enet,,latency,5.000000,30.000000,500.000000,2,2,5104,5104,2613248
taut,1,latency,5.000000,30.000000,500.000000,2,2,5104,5761,3070613
taut,2,latency,5.000000,30.000000,500.000000,2,2,5104,5801,3091933
tcp,,latency,5.000000,30.000000,500.000000,3,3,3985,3985,2040320
enet,,latency,5.000000,30.000000,500.000000,3,3,4998,4998,2558976
taut,1,latency,5.000000,30.000000,500.000000,3,3,4998,5622,2996526
taut,2,latency,5.000000,30.000000,500.000000,3,3,4998,5670,3022110
tcp,,latency,5.000000,30.000000,500.000000,4,4,4976,4976,2547712
enet,,latency,5.000000,30.000000,500.000000,4,4,4976,4976,2547712
taut,1,latency,5.000000,30.000000,500.000000,4,4,4976,5689,3032237
taut,2,latency,5.000000,30.000000,500.000000,4,4,4976,5684,3029572
tcp,,latency,5.000000,30.000000,500.000000,5,5,3574,3574,1829888
enet,,latency,5.000000,30.000000,500.000000,5,5,5003,5003,2561536
taut,1,latency,5.000000,30.000000,500.000000,5,5,5003,5786,3083938
taut,2,latency,5.000000,30.000000,500.000000,5,5,5003,5681,3027973
tcp,,latency,10.000000,30.000000,500.000000,1,1,1356,1356,694272
enet,,latency,10.000000,30.000000,500.000000,1,1,4905,4905,2511360
taut,1,latency,10.000000,30.000000,500.000000,1,1,4905,6185,3296605
taut,2,latency,10.000000,30.000000,500.000000,1,1,4905,6148,3276884
tcp,,latency,10.000000,30.000000,500.000000,2,2,2336,2336,1196032
enet,,latency,10.000000,30.000000,500.000000,2,2,5104,5104,2613248
taut,1,latency,10.000000,30.000000,500.000000,2,2,5104,6352,3385616
taut,2,latency,10.000000,30.000000,500.000000,2,2,5104,6511,3470363
tcp,,latency,10.000000,30.000000,500.000000,3,3,592,592,303104
enet,,latency,10.000000,30.000000,500.000000,3,3,4998,4998,2558976
taut,1,latency,10.000000,30.000000,500.000000,3,3,4998,6338,3378154
taut,2,latency,10.000000,30.000000,500.000000,3,3,4998,6246,3329118
tcp,,latency,10.000000,30.000000,500.000000,4,4,913,913,467456
enet,,latency,10.000000,30.000000,500.000000,4,4,4976,4976,2547712
taut,1,latency,10.000000,30.000000,500.000000,4,4,4976,6263,3338179
