transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,sent,replies,p50_ms,p90_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms
enet,,rr,5.000000,30.000000,500.000000,1,1,223,223,35.335716,84.874876,147.598295,346.115073,30.520791,346.115073,44.913210
taut,1,rr,5.000000,30.000000,500.000000,1,1,297,297,30.188207,33.000630,61.620385,254.152129,30.069288,254.152129,33.767473
taut,2,rr,5.000000,30.000000,500.000000,1,1,300,300,30.186941,31.847711,92.300973,120.319506,30.069215,120.319506,33.409719
tcp,,rr,5.000000,30.000000,500.000000,2,2,164,164,40.034924,46.219636,409.097760,539.504483,31.190366,539.504483,62.529709
enet,,rr,5.000000,30.000000,500.000000,2,2,245,245,34.574635,42.272671,141.027618,143.176336,30.345099,143.176336,40.898947
taut,1,rr,5.000000,30.000000,500.000000,2,2,304,304,30.189012,33.430847,61.410710,65.246353,30.062836,65.246353,32.891690
taut,2,rr,5.000000,30.000000,500.000000,2,2,286,286,30.191320,61.166735,92.375502,123.427534,30.019981,123.427534,35.052611
tcp,,rr,5.000000,30.000000,500.000000,3,3,185,185,39.785170,45.781274,302.337238,577.045884,30.389013,577.045884,55.414310
enet,,rr,5.000000,30.000000,500.000000,3,3,236,236,34.894495,38.379735,155.613053,377.069391,30.409374,377.069391,42.682654
taut,1,rr,5.000000,30.000000,500.000000,3,3,301,301,30.204713,35.091864,63.283066,68.260633,30.045907,68.260633,33.309400
taut,2,rr,5.000000,30.000000,500.000000,3,3,300,300,30.200182,35.767872,61.479217,123.190371,30.031554,123.190371,33.472656
tcp,,rr,5.000000,30.000000,500.000000,4,4,164,164,40.145395,46.231859,639.581244,704.949158,30.935004,704.949158,61.176963
enet,,rr,5.000000,30.000000,500.000000,4,4,55,53,33.920041,82.088069,173.348159,173.348159,30.338856,173.348159,44.422793
taut,1,rr,5.000000,30.000000,500.000000,4,4,304,304,30.182268,31.053948,65.105571,123.574727,30.043915,123.574727,33.076023
taut,2,rr,5.000000,30.000000,500.000000,4,4,280,280,30.265926,61.222885,125.457716,147.220413,30.033899,147.220413,35.769391
tcp,,rr,5.000000,30.000000,500.000000,5,5,149,149,40.229897,282.446371,382.164258,400.762080,31.653375,400.762080,67.335848
enet,,rr,5.000000,30.000000,500.000000,5,5,248,248,33.958221,41.616190,146.475418,147.916538,30.468670,147.916538,40.346947
taut,1,rr,5.000000,30.000000,500.000000,5,5,294,294,30.207507,61.159597,62.324996,123.449206,30.058481,123.449206,34.105837
taut,2,rr,5.000000,30.000000,500.000000,5,5,296,296,30.196415,61.045563,64.319175,123.470213,30.050616,123.470213,33.797547
tcp,,rr,10.000000,30.000000,500.000000,1,1,115,115,39.597417,291.645807,599.727132,645.727331,30.889028,645.727331,88.997104
enet,,rr,10.000000,30.000000,500.000000,1,1,179,179,35.391918,137.127614,245.238625,250.835953,30.365230,250.835953,56.264873
taut,1,rr,10.000000,30.000000,500.000000,1,1,268,268,30.215391,61.305209,126.430276,129.212794,30.024127,129.212794,37.343700
taut,2,rr,10.000000,30.000000,500.000000,1,1,248,248,30.206300,61.281434,247.251212,355.133320,30.047882,355.133320,40.325017
tcp,,rr,10.000000,30.000000,500.000000,2,2,86,86,41.265348,320.220601,991.189991,991.189991,30.989626,991.189991,116.976075
enet,,rr,10.000000,30.000000,500.000000,2,2,195,195,35.297627,87.511848,207.945821,775.805269,30.420481,775.805269,51.617061
taut,1,rr,10.000000,30.000000,500.000000,2,2,242,242,30.200658,61.322678,230.268161,320.264344,30.033140,320.264344,41.506613
taut,2,rr,10.000000,30.000000,500.000000,2,2,273,273,30.194736,61.217345,123.391720,154.310400,30.039811,154.310400,36.703262
tcp,,rr,10.000000,30.000000,500.000000,3,3,93,93,40.342606,303.245544,2019.122552,2019.122552,31.993156,2019.122552,110.640948
enet,,rr,10.000000,30.000000,500.000000,3,3,178,178,35.261373,136.887457,241.736975,405.136537,30.487497,405.136537,56.569007
taut,1,rr,10.000000,30.000000,500.000000,3,3,270,270,30.212244,61.278765,120.253842,123.539544,30.036775,123.539544,37.122999
taut,2,rr,10.000000,30.000000,500.000000,3,3,260,260,30.219686,61.287795,125.376218,247.616572,30.060758,247.616572,38.464967
tcp,,rr,10.000000,30.000000,500.000000,4,4,107,107,40.819585,295.207947,664.378121,1022.160205,30.988903,1022.160205,99.237599
enet,,rr,10.000000,30.000000,500.000000,4,4,115,115,34.808817,141.074233,247.123582,3536.836949,30.511620,3536.836949,87.297401
taut,1,rr,10.000000,30.000000,500.000000,4,4,259,259,30.215026,61.318174,123.167784,630.766551,30.054235,630.766551,38.790386
taut,2,rr,10.000000,30.000000,500.000000,4,4,247,247,30.203549,61.281271,154.615653,255.138491,30.048424,255.138491,40.502431
tcp,,rr,10.000000,30.000000,500.000000,5,5,75,75,41.591897,298.013812,2332.201275,2332.201275,31.187622,2332.201275,136.569954
